accessibility,accreditation,address,capacity,case_types,city,email,fees,founding_date,hours,id,languages,name,notes,phone,postal_code,referral_contacts,region,regions_served,reviews,source,specialty,staff,type,wait_time,website
"{'wheelchair': True, 'virtual_consultation': True, 'phone_consultation': True}",Namur Bar Association,Rue de Bavière 89,accepting_clients,Contract disputes | Commercial negotiation | Mediation,,fabrice@avocats.be,"{'consultation': 125, 'initial_contact': '125 EUR', 'payment_plans': True}",2011,"{'monday_friday': '10:00-17:00', 'saturday': None, 'sunday': None}",LAW024,French | English,Fabrice Laurent,Alternative dispute resolution specialist,+32 81 423 1234,5100,"{'name': 'Chamber of Commerce Namur', 'relationship': 'Member'}",Wallonia,Wallonia,"{'rating': 4.7, 'count': 44, 'source': 'Avocats.be'}",Bar Association,Contract Law | Commercial Disputes | Negotiation,1,individual,1 week,
Wheelchair accessible,Belgian Social Workers Association,741 Boulevard de Waterloo,20,Family Assessment | Autonomy Evaluation | Kinship Assessment,Bruxelles,family.assessment@socialcare-bxl.be,Free,2013-07-10,Mon-Fri 09:00-17:00,SOC_BXL_001,FR | NL | AR | EN | RO,Family & Autonomy Assessment Service,Assesses family reunification possibilities and autonomy levels,+32 2 555 0900,1000,Social Worker Catherine Moulin | Family Therapist Denis Leroy,Bruxelles,Bruxelles,,Brussels Social Services,Family Dynamics & Autonomy Assessment,5 Social workers | 2 Family therapists | 1 Administrative,Social Assessment Centre,,https://socialcare-bxl.be
wheelchair_accessible,Belgian federal government,Rue Gabrielle Petit 72,8500,emergency_shelter | asylum_seeker_accommodation | family_housing,Bruxelles,reception@fedasil.be,free,1998,08:00-18:00 Mon-Fri,fedasil_001,nl | fr | en | ar | am | ti | fa,Fedasil - Federal Agency for the Reception of Asylum Seekers,Network of shelters across Belgium,+32 (0)2 790 76 76,1080,reception@fedasil.be,Bruxelles,Bruxelles | Flandre | Wallonie,,official,accommodation | shelter | integration_support,520,government_agency,,https://www.fedasil.be
"{'wheelchair': True, 'virtual_consultation': True, 'phone_consultation': True}",Antwerp Bar Association,Antwerpsestraat 45,accepting_clients,Trade disputes | Contract review | Supply chain law,,info@flanderslegal.be,"{'consultation': 150, 'initial_contact': 'Gratuit', 'payment_plans': True}",2008,"{'monday_friday': '08:00-17:30', 'saturday': None, 'sunday': None}",LAW011,Dutch | English | French,Flanders Legal Associates,Port and trade law specialists,+32 3 232 1234,2000,"{'name': 'Antwerp Port Authority', 'relationship': 'Professional'}",Flanders,Flanders | Wallonia,"{'rating': 4.5, 'count': 52, 'source': 'Google'}",Trade Association,Commercial Law | Trade Law | Supply Chain,10,firm,2 weeks,https://www.flanderslegal.be
partial_accessible,European Food Bank Federation,Boulevard Lambermont 70,2000,food_distribution | nutrition_education | emergency_relief,Bruxelles,contact@foodbankbrussels.be,free,1998,09:00-17:00 Mon-Fri,food_001,nl | fr | en,Food Bank Brussels,Emergency food assistance,+32 (0)2 217 18 18,1030,contact@foodbankbrussels.be,Bruxelles,Bruxelles,,ngo,food_assistance | nutrition_support | emergency_aid,45,ngo,,https://www.foodbankbrussels.be
Wheelchair accessible,"Belgian Medical Association, ISO 9001:2015",321 Rue Royale,50,General Checkup | Chronic Disease Management | Family Planning,Bruxelles,general@multicultural-health.be,"Insurance accepted, Sliding scale",2008-01-25,Mon-Sat 08:00-18:00,MED_BXL_004,FR | NL | AR | EN | FA | UR,General Medicine Clinic - Multicultural Health,Primary care hub for migrant and refugee populations,+32 2 555 0400,1210,Dr. Ahmed Hassan | Dr. Maria Garcia,Bruxelles,Bruxelles,,Brussels Primary Care Registry,General & Preventive Medicine,8 GPs | 6 Nurses | 2 Midwives | 2 Administrative,Medical Center,,https://multicultural-health.be
"{'wheelchair': True, 'virtual_consultation': True, 'phone_consultation': True}",Gent Bar Association | Mediation Certified,Sint-Jacobs 67,accepting_clients,Divorce | Custody disputes | Family mediation,,family@gentlaw.be,"{'consultation': 110, 'initial_contact': 'Gratuit', 'payment_plans': True}",2009,"{'monday_friday': '09:00-18:00', 'saturday': '10:00-13:00', 'sunday': None}",LAW013,Dutch | English | French,Gent Family Law Center,Child-focused divorce services,+32 9 217 3456,9000,"{'name': 'Gent Mediation Center', 'relationship': 'Partnership'}",Flanders,Flanders,"{'rating': 4.9, 'count': 112, 'source': 'Google'}",Family Services,Family Law | Child Custody | Divorce Mediation,6,firm,1 week,https://www.gentlaw.be
wheelchair_accessible,Flemish health authority,Graffiti Street 45,700,general_practice | mental_health | preventive_care,Gent,health@gent-migrants.be,free/sliding_scale,2010,08:30-18:00 Mon-Fri,gent_health_001,nl | en | fr | ar,Gent Health Centre for Migrants,Gent regional health center,+32 (0)9 269 50 50,9000,health@gent-migrants.be,Flandre,Flandre,,ngo,primary_healthcare | mental_health | health_screening,52,healthcare_center,,https://www.gent-migrants.be
Wheelchair accessible,Belgian Psychology Association,369 Sint-Veerleplein,20,IQ Testing | Mental Health Assessment | Learning Disabilities,Gent,assessment@psygent.be,Free,2015-08-10,Mon-Fri 09:00-17:00,PSY_GENT_001,NL | FR | AR | EN,Gent Psychological Assessment Centre,Comprehensive psychological evaluations for vulnerable youth,+32 9 555 0100,9000,Dr. Dirk Vandenberghe | Psychologist Katrien Wauters,Flandre,Flandre,,Gent Health Services,Psychological Testing & Assessment,4 Psychologists | 1 Neuropsychologist,Psychological Centre,,https://psygent.be
wheelchair_accessible,International Habitat for Humanity,Rue de la Vallée 47,400,housing_renovation | capacity_building | advocacy,Bruxelles,brussels@habitatbelgium.be,free/sliding_scale,1984,09:00-17:00 Mon-Fri,habitat_br_001,nl | fr | en,Habitat for Humanity Belgium - Bruxelles,Housing and construction programs,+32 (0)2 514 94 94,1000,brussels@habitatbelgium.be,Bruxelles,Bruxelles,,ngo,housing | construction_training | home_improvement,32,ngo,,https://www.habitatbelgium.be
"Wheelchair accessible, Parking available","Belgian Health Ministry, HIV/AIDS Alliance",456 Avenue Louise,60,Health Screening | Infectious Disease Testing | Vaccination,Bruxelles,screening@healthbrussels.be,Sliding scale,2010-05-15,"Mon-Fri 09:00-18:00, Sat 10:00-14:00",MED_BXL_002,FR | NL | AR | EN | SO,Health Screening Centre Brussels,Specializes in refugee and asylum seeker health screenings,+32 2 555 0200,1050,Dr. Marc Dubois | Nurse Patricia Dufour,Bruxelles,Bruxelles,,Brussels Health Department,Comprehensive Health Screening,12 Nurses | 5 Doctors | 1 Nutritionist | 3 Administrative,Medical Center,,https://healthbrussels.be
"{'wheelchair': True, 'virtual_consultation': True, 'phone_consultation': True}",Brussels Bar Association | EU Law Certified,Rue de Trèves 45,accepting_clients,EU procurement | EU administrative law | Public contracts,,helmut.schneider@avocats.be,"{'consultation': 185, 'initial_contact': 'Gratuit', 'payment_plans': True}",2008,"{'monday_friday': '08:30-17:30', 'saturday': None, 'sunday': None}",LAW036,German | English | French,Helmut Schneider,EU law specialist,+32 2 783 4567,1040,"{'name': 'EU Legal Service', 'relationship': 'Professional'}",Brussels,Brussels | EU,"{'rating': 4.7, 'count': 39, 'source': 'Professional Directory'}",EU Professional Network,EU Administrative Law | European Institutions | Public Procurement,3,individual,2 weeks,https://www.schneider-legal.be
"{'wheelchair': True, 'virtual_consultation': True, 'phone_consultation': True}",Gent Bar Association,Graffiti Street 34,accepting_clients,Work permits | Asylum appeals | Residency,,inge.wouters@avocats.be,"{'consultation': 125, 'initial_contact': '125 EUR', 'payment_plans': True}",2011,"{'monday_friday': '10:00-17:00', 'saturday': None, 'sunday': None}",LAW014,Dutch | English | French | German,Inge Wouters,Multilingual immigration specialist,+32 9 223 4567,9000,"{'name': 'Belgium Immigration Services', 'relationship': 'Professional'}",Flanders,Flanders,"{'rating': 4.7, 'count': 85, 'source': 'Avocats.be'}",Immigration Advocacy Network,Immigration Law | Asylum | Work Permits,1,individual,2 weeks,
Accessible,ISO 9001:2015,852 Chaussée de Charleroi,30,Integration Assessment | Support Planning | Housing Support,Bruxelles,integration@socialinclusion.be,Free,2009-11-15,Mon-Fri 08:30-17:00,SOC_BXL_002,FR | NL | AR | EN | TI,Integration & Social Inclusion Centre,Evaluates social integration needs and creates tailored support plans,+32 2 555 1000,1060,Integration Officer Francine Arth | Case Manager Robert Lefevre,Bruxelles,Bruxelles | Flandre,,Brussels Integration Office,Social Integration & Inclusion Assessment,6 Social workers | 2 Case managers | 1 Housing specialist,Social Assessment Centre,,https://socialinclusion.be
"{'wheelchair': True, 'virtual_consultation': True, 'phone_consultation': True}",Brussels/Flanders Bars | GDPR Certified,Rue de Pavie 156,accepting_clients,Consumer protection | Data privacy | Fraud claims,,judith.vermeulen@avocats.be,"{'consultation': 115, 'initial_contact': 'Gratuit', 'payment_plans': True}",2015,"{'monday_friday': '09:00-17:00', 'saturday': None, 'sunday': None}",LAW018,Dutch | English | French,Judith Vermeulen,GDPR and digital rights expert,+32 2 514 2345,1000,"{'name': 'Data Protection Authority', 'relationship': 'Professional'}",Mixed,Brussels | Flanders | Wallonia,"{'rating': 4.8, 'count': 76, 'source': 'Avocats.be'}",Tech Legal Network,Consumer Law | Fraud Protection | Data Privacy (GDPR),2,individual,1 week,https://www.judithlegal.be
Wheelchair accessible,Belgian Education Ministry,963 Rue de Stassart,100,French Training | Dutch Training | Cultural Orientation,Bruxelles,language@culturalacademy.be,Free,2010-09-01,"Mon-Fri 09:00-18:00, Sat 10:00-13:00",LANG_BXL_001,FR | NL | AR | EN | SW | TI,Language & Cultural Integration Academy,Intensive language programs integrated with cultural orientation,+32 2 555 1100,1050,Director Martine Dupont | Language Coordinator Hassan Ahmed,Bruxelles,Bruxelles | Flandre | Wallonie,,Brussels Education Registry,Language Training & Cultural Integration,10 Language instructors | 3 Cultural mediators | 2 Administrative,Language Centre,,https://culturalacademy.be
wheelchair_accessible,Belgian bar association,Rue de Flandre 25,1200,legal_consultation | court_representation | documentation_support,Bruxelles,legal@lacb.be,free,1996,09:00-17:00 Mon-Fri,legal_001,fr | nl | en | ar,Legal Aid Centre Brussels,Pro bono legal services,+32 (0)2 219 75 75,1000,legal@lacb.be,Bruxelles,Bruxelles,,ngo,legal_advice | representation | rights_education,68,legal_aid,,https://www.lacb.be
"{'wheelchair': True, 'virtual_consultation': True, 'phone_consultation': True}",Brussels Bar Association | HR Certification,Rue du Commerce 89,accepting_clients,Wrongful termination | Workplace disputes | Contract review,,info@legalsolutions.be,"{'consultation': 160, 'initial_contact': 'Gratuit', 'payment_plans': True}",2009,"{'monday_friday': '08:00-18:00', 'saturday': None, 'sunday': None}",LAW005,French | English | Dutch,Legal Solutions Brussels,Corporate employment law specialists,+32 2 419 7743,1000,"{'name': 'HR Federation Belgium', 'relationship': 'Partner'}",Brussels,Brussels | Wallonia,"{'rating': 4.8, 'count': 91, 'source': 'Google'}",HR Professional Directory,Employment Law | Labor Relations | HR Consulting,18,firm,1 week,https://www.legalsolutions.be
Accessible,Belgian Education Ministry,258 Bondgenotenlaan,50,Dutch Training | Integration Program | Job Preparation,Leuven,language@leuven-integration.be,Free,2011-06-01,Mon-Fri 09:00-18:00,LANG_LEU_001,NL | FR | AR | EN,Leuven Dutch & Integration Programme,Integrated language and job preparation programs,+32 16 555 0200,3000,Program Director Hans Vermeulen | Instructor Amira Al-Rashid,Flandre,Flandre,,Leuven Education Office,Dutch Language & Integration Training,6 Language instructors | 1 Integration coordinator,Language Centre,,https://leuven-integration.be
Wheelchair accessible,Belgian Social Workers Association,147 Naamsestraat,15,Family Assessment | Community Integration | Kinship Care,Leuven,family@leuven-support.be,Free,2013-09-15,Mon-Fri 09:00-17:00,SOC_LEU_001,NL | FR | AR | EN,Leuven Family & Community Support,Community-based family assessment and support services,+32 16 555 0100,3000,Social Worker Petra Claes | Community Coordinator Bram Heyden,Flandre,Flandre,,Leuven Welfare Office,Family Assessment & Community Support,3 Social workers | 1 Community coordinator,Social Assessment Centre,,https://leuven-support.be
wheelchair_accessible,Flemish health authority,University Square 12,500,medical_consultation | immunization | health_coaching,Leuven,health@leuven-migrant.be,free,2015,09:00-17:00 Mon-Fri,leuven_health_001,nl | en | fr,Leuven Migrant Health Services,University-connected health center,+32 (0)16 29 50 50,3000,health@leuven-migrant.be,Flandre,Flandre,,ngo,healthcare | vaccination | health_education,38,healthcare_center,,https://www.leuven-migrant.be
wheelchair_accessible,Belgian NGO sector,Rue du Vieux Marché aux Grains 32,1500,rights_violation | advocacy | policy_review,Bruxelles,info@liguedesdroitshumains.be,free,1888,10:00-17:00 Mon-Fri,ldh_001,fr | nl | en,Ligue des Droits Humains (Human Rights League),Independent human rights organization,+32 (0)2 513 59 95,1000,info@liguedesdroitshumains.be,Bruxelles,Bruxelles | Flandre | Wallonie,,ngo,human_rights | advocacy | legal_support,120,ngo,,https://www.liguedesdroitshumains.be
Accessible,Belgian Psychology Association,258 Rue de Visée,18,Developmental Assessment | IQ Testing | Behavioral Evaluation,Liège,development@liege-psych.be,Sliding scale,2012-07-20,Mon-Fri 09:00-17:00,PSY_LIE_001,FR | AR | EN | TI,Liège Child Development & Testing Centre,Developmental assessment for migrant children,+32 4 555 0200,4000,Dr. Alain Paquay | Psychologist Dominique Roselle,Wallonie,Wallonie,,Liège Education Services,Child Development & Psychological Testing,3 Psychologists | 1 Neuropsychologist,Psychological Centre,,https://liege-psych.be
"{'wheelchair': True, 'virtual_consultation': True, 'phone_consultation': True}",Liège Bar Association,Boulevard de la Sauvenière 45,accepting_clients,Mergers | Acquisitions | Company restructuring,,corporate@liegelaw.be,"{'consultation': 170, 'initial_contact': 'Gratuit', 'payment_plans': True}",2007,"{'monday_friday': '08:30-18:00', 'saturday': None, 'sunday': None}",LAW009,French | English | German,Liège Corporate Law,Multinational business law expertise,+32 4 221 4567,4000,"{'name': 'Liège Chamber of Commerce', 'relationship': 'Partner'}",Wallonia,Wallonia | Brussels,"{'rating': 4.6, 'count': 56, 'source': 'Google'}",Chamber of Commerce,Corporate Law | M&A | Business Restructuring,14,firm,2 weeks,https://www.liegelaw.be
"{'wheelchair': True, 'virtual_consultation': True, 'phone_consultation': True}",Liège Bar Association | Energy Law Certified,Place Saint-Lambert 89,accepting_clients,Energy contracts | Environmental permits | Renewable energy,,energy@liegeenv.be,"{'consultation': 160, 'initial_contact': 'Gratuit', 'payment_plans': True}",2010,"{'monday_friday': '09:00-17:30', 'saturday': None, 'sunday': None}",LAW035,French | English | German,Liège Environmental & Energy Law,Energy sector specialists,+32 4 223 5555,4000,"{'name': 'Walloon Energy Agency', 'relationship': 'Partner'}",Wallonia,Wallonia,"{'rating': 4.6, 'count': 43, 'source': 'Google'}",Energy Agency,Energy Law | Environmental Compliance | Renewable Energy,8,firm,2 weeks,https://www.liegeenv.be
Wheelchair accessible,ISO 17025:2017,147 Rue de Saucy,30,Health Screening | Age Assessment | Medical Evaluation,Liège,assessment@liege-health.be,Free,2014-04-10,Mon-Fri 08:00-17:00,MED_LIE_001,FR | AR | EN | TI,Liège General Health & Assessment Centre,Integrated health screening and MENA assessment services,+32 4 555 0100,4000,Dr. Bernard Michaud | Dr. Marie-Claire Delfosse,Wallonie,Wallonie,,Liège Health Authority,General Health & MENA Assessment,6 Medical staff | 2 Interpreters,Medical Center,,https://liege-health.be
wheelchair_accessible,Walloon health authority,Rue de la Cathédrale 35,600,health_consultation | social_support | health_education,Liège,contact@lhsc-liege.be,free/sliding_scale,2007,09:00-17:00 Mon-Fri,liege_health_001,fr | nl | en,Liège Health and Social Centre,Liège integrated services,+32 (0)4 223 98 98,4000,contact@lhsc-liege.be,Wallonie,Wallonie,,ngo,healthcare | social_services | community_health,45,healthcare_center,,https://www.lhsc-liege.be
"{'wheelchair': False, 'virtual_consultation': False, 'phone_consultation': True}",Bruges Bar Association,Ezelstraat 45,limited_availability,Environmental permits | Building disputes | Zoning appeals,,luc.declercq@avocats.be,"{'consultation': 135, 'initial_contact': 'Gratuit', 'payment_plans': False}",2008,"{'monday_friday': '08:30-17:00', 'saturday': None, 'sunday': None}",LAW016,Dutch | French,Luc De Clercq,Environmental law expertise,+32 50 334 5678,8000,"{'name': 'Environmental Ministry', 'relationship': 'Professional'}",Flanders,Flanders,"{'rating': 4.2, 'count': 29, 'source': 'Professional Directory'}",Professional Registry,Environmental Law | Building Code | Zoning,1,individual,4 weeks,
"{'wheelchair': False, 'virtual_consultation': True, 'phone_consultation': True}",Bruges Bar Association,Langestraat 78,limited_availability,Antitrust matters | Competition compliance | Cartels,,maxim@avocats.be,"{'consultation': 175, 'initial_contact': '175 EUR', 'payment_plans': False}",2013,"{'monday_friday': '09:00-17:00', 'saturday': None, 'sunday': None}",LAW028,English | Dutch | Russian,Maxim Petrov,EU competition law expert,+32 50 449 7654,8000,"{'name': 'Competition Authority', 'relationship': 'Professional'}",Flanders,Flanders | EU,"{'rating': 4.5, 'count': 19, 'source': 'Professional Directory'}",Competition Law Network,Competition Law | Antitrust | Market Regulation,1,individual,4 weeks,
"{'wheelchair': True, 'virtual_consultation': False, 'phone_consultation': True}",Brussels Bar Association,Rue Royale 146,accepting_clients,Property purchase | Construction disputes | Easements,,verlaine@avocats.be,"{'consultation': 140, 'initial_contact': '140 EUR', 'payment_plans': False}",2012,"{'monday_friday': '09:00-17:00', 'saturday': None, 'sunday': None}",LAW004,French | English,Michaël Verlaine,Specializes in complex property transactions,+32 2 227 4567,1210,"{'name': 'Real Estate Board Brussels', 'relationship': 'Member'}",Brussels,Brussels,"{'rating': 4.6, 'count': 34, 'source': 'Avocats.be'}",Real Estate Professional Network,Real Estate Law | Property Conveyancing | Construction Law,2,individual,2 weeks,https://www.verlaine-avocat.be
wheelchair_accessible,Flemish NGO sector,Naamsestraat 62,300,housing_assistance | language_classes | skills_training,Leuven,info@migrantsolidarity-leuven.be,free,2012,10:00-18:00 Mon-Fri,leuven_001,nl | en | fr | ar,Migrant Solidarity Leuven,University town support network,+32 (0)16 29 19 20,3000,info@migrantsolidarity-leuven.be,Flandre,Flandre,,ngo,migrant_support | housing | language_training,22,ngo,,https://www.migrantsolidarity-leuven.be
"{'wheelchair': True, 'virtual_consultation': True, 'phone_consultation': True}",All Belgian Bars | International Arbitration,Grand Place 1,accepting_clients,Multi-regional disputes | Cross-border contracts | Arbitration,,national@multiregional.be,"{'consultation': 165, 'initial_contact': 'Gratuit', 'payment_plans': True}",2003,"{'monday_friday': '08:00-18:00', 'saturday': '10:00-14:00', 'sunday': None}",LAW017,French | Dutch | English | German | Italian,Multi-Regional Legal Solutions,National network with regional offices,+32 2 500 0001,1000,"{'name': 'Belgian Arbitration Council', 'relationship': 'Member'}",Mixed,Brussels | Wallonia | Flanders,"{'rating': 4.6, 'count': 127, 'source': 'Google'}",Professional Registry,General Practice | Multiple Jurisdictions | Dispute Resolution,35,firm,1-2 weeks,https://www.multiregional.be
wheelchair_accessible,Belgian healthcare association,Avenue de la Couronne 6-8,2500,medical_consultation | dental_care | mental_health,Bruxelles,info@medecinsdumonde.be,free/sliding_scale,1980,09:00-18:00 Mon-Fri,mdm_001,nl | fr | en | ar | am | ti,Médecins du Monde Belgium,Healthcare for vulnerable populations,+32 (0)2 644 20 20,1050,info@medecinsdumonde.be,Bruxelles,Bruxelles | Flandre | Wallonie,,ngo,healthcare | medical_treatment | health_education,180,ngo,,https://www.medecinsdumonde.be
wheelchair_accessible,Walloon health authority,Avenue de Sambre et Meuse 50,400,health_consultation | health_coaching | health_screening,Namur,health@namur-migrants.be,free/sliding_scale,2011,09:00-17:00 Mon-Fri,namur_health_001,fr | nl | en,Namur Health Services for Migrants,Namur regional health services,+32 (0)81 23 45 45,5000,health@namur-migrants.be,Wallonie,Wallonie,,ngo,primary_healthcare | health_education | community_health,28,healthcare_center,,https://www.namur-migrants.be
"{'wheelchair': True, 'virtual_consultation': True, 'phone_consultation': True}",Namur Bar Association,Rue de Fer 12,accepting_clients,Agricultural law | Regional permits | Public administration,,regional@namurlaw.be,"{'consultation': 105, 'initial_contact': 'Gratuit', 'payment_plans': True}",2008,"{'monday_friday': '09:00-17:00', 'saturday': None, 'sunday': None}",LAW023,French | English,Namur Regional Legal Office,Regional administration expertise,+32 81 723 4567,5000,"{'name': 'Walloon Regional Government', 'relationship': 'Professional'}",Wallonia,Wallonia,"{'rating': 4.2, 'count': 33, 'source': 'Google'}",Regional Government,Regional Law | Public Administration | Agriculture Law,7,firm,2 weeks,https://www.namurlaw.be
wheelchair_accessible,United Nations observer,Rue du Trône 98,1500,assisted_return | integration_support | research,Bruxelles,bru@iom.int,free/project_based,1951,09:00-17:00 Mon-Fri,oim_001,en | fr | nl,OIM Belgium - International Migration Organization,UN migration agency,+32 (0)2 507 89 11,1050,bru@iom.int,Bruxelles,Bruxelles | Flandre | Wallonie,,international,migration_management | humanitarian_assistance | research,75,international_org,,https://belgium.iom.int
wheelchair_accessible,Belgian employment services,Avenue de la Reine 2,1800,job_placement | language_training | skills_assessment,Bruxelles,info@praxis.be,free,1996,09:00-18:00 Mon-Fri,praxis_001,nl | fr | en | ar | am | so,PRAXIS - Integration and Settlement Services,Employment and integration focus,+32 (0)2 217 16 40,1000,info@praxis.be,Bruxelles,Bruxelles | Flandre,,ngo,integration_services | employment | education,120,ngo,,https://www.praxis.be
"Full accessibility, Dedicated child areas","Belgian Emergency Medicine Board, PICU certified",654 Rue de Trèves,80,Emergency Care | Acute Illness | Injury Treatment,Bruxelles,pediatric@emergencycare-bxl.be,Free (Emergency),2005-06-01,24/7,MED_BXL_005,FR | NL | AR | EN,Pediatric Emergency & Care Centre,"Largest pediatric emergency facility, specializes in vulnerable youth",+32 2 555 0500,1040,Dr. Sophie Bernard | Head Nurse Laurent Clement,Bruxelles,Bruxelles | Flandre | Wallonie,,Brussels Hospital Network,Pediatric Emergency & Acute Care,10 Pediatricians | 15 Nurses | 2 Social workers,Medical Center,,https://emergencycare-bxl.be
"{'wheelchair': True, 'virtual_consultation': True, 'phone_consultation': True}",Antwerp Bar Association,Griekenstraat 34,accepting_clients,Non-profit governance | Charity law | Association disputes,,petra.vandyck@avocats.be,"{'consultation': 110, 'initial_contact': 'Gratuit', 'payment_plans': True}",2012,"{'monday_friday': '09:30-16:30', 'saturday': None, 'sunday': None}",LAW038,Dutch | English,Petra Van Dyck,Non-profit sector advocate,+32 3 233 2121,2000,"{'name': 'NGO Alliance Antwerp', 'relationship': 'Advisor'}",Flanders,Flanders,"{'rating': 4.7, 'count': 52, 'source': 'Avocats.be'}",NGO Alliance,Non-Profit Law | Charity | Association Rights,1,individual,1-2 weeks,
"{'wheelchair': True, 'virtual_consultation': False, 'phone_consultation': True}",Charleroi Bar Association,Place d'Armes 56,accepting_clients,Municipal permits | Administrative appeals | Public services,,pierre.henault@avocats.be,"{'consultation': 95, 'initial_contact': 'Gratuit', 'payment_plans': True}",2011,"{'monday_friday': '10:00-16:00', 'saturday': None, 'sunday': None}",LAW008,French,Pierre Henault,Specialist in municipal and administrative matters,+32 71 367 2341,6000,"{'name': 'Charleroi Municipality', 'relationship': 'Referral'}",Wallonia,Wallonia,"{'rating': 4.3, 'count': 22, 'source': 'Local Directory'}",Local Bar Association,Municipal Law | Administrative Compliance | Public Records,1,individual,3 weeks,
wheelchair_accessible,Belgian NGO sector,Rue de Flandre 31,800,basic_support | language_classes | job_training,Bruxelles,contact@pcsr.be,free,2015,10:00-18:00 Mon-Fri,plateforme_001,fr | nl | en | ar | am,Plateforme Citoyenne de Soutien aux Réfugiés,Grassroots refugee support network,+32 (0)2 502 87 68,1000,contact@pcsr.be,Bruxelles,Bruxelles,,ngo,refugee_support | integration | community_programs,45,ngo,,https://www.pcsr.be
wheelchair_accessible,Belgian psychological association,Rue de Flandre 19,400,individual_therapy | group_therapy | trauma_support,Bruxelles,contact@pscsbrussels.be,free/sliding_scale,2007,"09:00-17:00 Mon-Fri, 09:00-13:00 Sat",psycho_001,fr | nl | en | ar | am | ku,Psychosocial Support Centre Brussels,Specialized trauma and mental health,+32 (0)2 219 75 86,1000,contact@pscsbrussels.be,Bruxelles,Bruxelles,,ngo,mental_health | trauma_counseling | psychological_support,35,healthcare_center,,https://www.pscsbrussels.be
wheelchair_accessible,International Red Cross and Red Crescent Movement,Rue de Trèves 61,3000,emergency_care | health_screening | psychosocial_support,Bruxelles,contact@croix-rouge.be,free,1870,09:00-17:00 Mon-Fri,rcb_001,nl | fr | en | ar,Red Cross Belgium (Croix-Rouge de Belgique),Major humanitarian organization,+32 (0)2 791 55 11,1040,contact@croix-rouge.be,Bruxelles,Bruxelles | Flandre | Wallonie,,ngo,emergency_assistance | healthcare | humanitarian_aid,350,ngo,,https://www.croix-rouge.be
"{'wheelchair': True, 'virtual_consultation': False, 'phone_consultation': True}",Brussels Notarial Order,Rue Lebeau 67,limited_availability,Property transfer | Wills | Succession planning,,rene.debacker@avocats.be,"{'consultation': 100, 'initial_contact': 'Gratuit', 'payment_plans': False}",2006,"{'monday_friday': '09:00-16:30', 'saturday': None, 'sunday': None}",LAW032,French | Dutch,Rene De Backer,Notarial specialist,+32 2 219 3456,1210,"{'name': 'Notaries Guild', 'relationship': 'Member'}",Brussels,Brussels,"{'rating': 4.2, 'count': 28, 'source': 'Professional Directory'}",Notaries Guild,Notarial Law | Property Transfer | Succession,1,individual,4 weeks,
"Accessible, Safe spaces",European Trauma Association,258 Chaussée d'Ixelles,40,Resilience Training | Group Therapy | Mindfulness Programs,Bruxelles,resilience@traumarecovery.be,Free,2016-09-15,Mon-Fri 10:00-18:00,PSY_BXL_002,FR | AR | EN | AM | SO,Resilience & Trauma Recovery Programme,Focuses on building resilience in vulnerable youth through evidence-based programs,+32 2 555 0700,1050,Psychologist Laura Meyers | Counselor Michel Dubois,Bruxelles,Bruxelles | Flandre,,Brussels Youth Services,Resilience Training & Emotional Recovery,5 Therapists | 3 Counselors | 2 Group facilitators,Psychological Centre,,https://traumarecovery.be
wheelchair_accessible,Belgian child protection authority,Rue de la Concorde 65,1000,child_asylum | family_reunification | guardianship,Bruxelles,contact@sem.be,free,2002,09:00-17:00 Mon-Fri,sem_001,fr | nl | en | ar | am,SEM - Solidarité Enfants Migrants,Child and minor protection,+32 (0)2 539 73 86,1050,contact@sem.be,Bruxelles,Bruxelles,,ngo,child_protection | unaccompanied_minors | family_support,72,ngo,,https://www.sem.be
wheelchair_accessible,Belgian health system,Avenue Clemenceau 35,800,medical_consultation | immunization | preventive_care,Bruxelles,info@santeplus.be,free,1995,"08:00-19:00 Mon-Fri, 09:00-17:00 Sat",sante_001,nl | fr | en | ar | am,Santé Plus - Community Health Centre,Community health center,+32 (0)2 526 11 11,1070,info@santeplus.be,Bruxelles,Bruxelles,,ngo,primary_healthcare | vaccination | health_screening,62,healthcare_center,,https://www.santeplus.be
partial_accessible,Walloon NGO sector,Avenue de Sambre et Meuse 34,350,emergency_assistance | housing_support | food_security,Namur,info@sarn-namur.be,free,2005,09:00-16:30 Mon-Fri,namur_001,fr | nl | en | ar,Service d'Aide aux Réfugiés Namur,Regional support center Namur,+32 (0)81 23 09 18,5000,info@sarn-namur.be,Wallonie,Wallonie,,ngo,refugee_support | housing | basic_needs,24,ngo,,https://www.sarn-namur.be
wheelchair_accessible,Brussels government,Boulevard Anspach 50,1500,benefits_application | case_management | welfare_support,Bruxelles,info@sibbrussels.be,free,2004,08:30-17:00 Mon-Fri,social_001,nl | fr | en | ar,Social Integration Bureau Brussels,Social welfare and benefits,+32 (0)2 505 11 11,1000,info@sibbrussels.be,Bruxelles,Bruxelles,,official,social_services | benefits_counseling | case_management,85,social_services,,https://www.sibbrussels.be
